gispropnum,signname,borough,typecategory,subcategory,acres,road_segments
B223DA,Adam Yauch Park,B,Playground,Neighborhood Plgd,1.363,9
B223I,Anchorage Plaza,B,Triangle/Plaza,Sitting Area/Triangle/Mall,2.2,28
B568,Ashford Street Abundant Garden,B,Garden,,0.133,1
B080,Asser Levy Park,B,Community Park,Large Park,21.039,14
B184,Avenue R Mall,B,Mall,Sitting Area/Triangle/Mall,0.258,3
B223IB,Bar and Grill Park,B,Parkway,Sitting Area/Triangle/Mall,0.489,2
B003,Bartel-Pritchard Square,B,Triangle/Plaza,Sitting Area/Triangle/Mall,1.711,10
B164,Bath Beach Park,B,Playground,Neighborhood Plgd,2.964,3
B166,Belt Parkway/Shore Parkway,B,Parkway,Large Park,760.43,8355
B007,Bensonhurst Park,B,Recreational Field/Courts,Large Park,17.5,7
B008,Betsy Head Park,B,Community Park,Large Park,10.555,8
B247,Breukelen Ballfields,B,Community Park,Large Park,16.16,6
B223JC,Bridge Park 3,B,Recreational Field/Courts,Neighborhood Plgd,1.934,5
B431,Brooklyn Bridge Park,B,Community Park,Large Park,21.377,250
B223DI,Brooklyn Heights Promenade,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.138,1
B223DE,Brooklyn Heights Promenade,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.21,1
B223DK,Brooklyn Heights Promenade,B,Triangle/Plaza,Large Park,1.093,5
B012,Brower Park,B,Neighborhood Park,Large Park,7.047,1
B270,Brownsville Playground,B,Community Park,Neighborhood Plgd,3.017,1
B529,Bushwick Inlet Park,B,Neighborhood Park,Neighborhood Park,35.533,3
B113A,Cadman Plaza Park,B,Neighborhood Park,Large Park,10.384,3
B219,Callahan-Kelly Playground,B,Community Park,Neighborhood Plgd,3.461,1
B125,Calvert Vaux Park,B,Recreational Field/Courts,Large Park,85.527,37
B018,Canarsie Park,B,Community Park,Large Park,132.2,44
B337,Century Playground,B,Jointly Operated Playground,JOP,2.282,1
B141,City Line Park,B,Jointly Operated Playground,JOP,6.05,13
B223NA,Classon Playground,B,Playground,Neighborhood Plgd,2.982,5
B223IA,Clumber Corner,B,Parkway,Sitting Area/Triangle/Mall,0.947,1
B128,Colonel David Marcus Playground,B,Playground,Neighborhood Plgd,1.974,2
B113C,Columbus Park,B,Neighborhood Park,Sitting Area/Triangle/Mall,5.43,7
B169,Coney Island Beach & Boardwalk,B,Waterfront Facility,Large Park,399.473,72
B210P,Dan Ross Playground,B,Playground,Neighborhood Plgd,0.256,1
B255F,Detective Joseph Mayrose Park,B,Neighborhood Park,Sitting Area/Triangle/Mall,1.314,2
B223B,Dimattina Playground,B,Playground,Neighborhood Plgd,0.52,1
B223A,Dimattina Playground,B,Recreational Field/Courts,Neighborhood Plgd,1.38,44
B028,Dyker Beach Park,B,Community Park,Large Park,216.655,15
B029,Eastern Parkway,B,Parkway,Large Park,63.636,158
B030,Eastern Parkway Extension,B,Mall,Sitting Area/Triangle/Mall,2.064,147
B376,Fidler-Wyckoff House Park,B,Historic House Park,Neighborhood Park,1.13,1
B179,Flatbush Malls,B,Mall,Sitting Area/Triangle/Mall,0.8,6
B178,Flatbush Malls,B,Mall,Sitting Area/Triangle/Mall,0.73,21
B032,Fort Greene Park,B,Community Park,Large Park,30.168,2
B036,Fort Stirling Park,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.214,1
B384,Fresh Creek Nature Preserve,B,Nature Area,Large Park,77.044,4
B223E,Fruit Street Sitting Area,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.92,2
B038,Fulton Park,B,Neighborhood Park,Neighborhood Park,1.987,1
B243,Golconda Playground,B,Neighborhood Park,Neighborhood Plgd,1.5,2
B040,Grand Army Plaza,B,Triangle/Plaza,Flagship Park,14.257,62
B401,Grand Ferry Park,B,Neighborhood Park,Neighborhood Park,1.7,1
B042,Gravesend Park,B,Neighborhood Park,Neighborhood Plgd,6.379,1
B486,Green Valley Garden,B,Garden,Greenthumb,0.19,1
B595,Greenpoint Landing,B,Neighborhood Park,Sitting Area/Triangle/Mall,1.486,1
B130,Greenwood Playground,B,Neighborhood Park,Neighborhood Plgd,3.39,4
B403,Harmony Park,B,Neighborhood Park,Neighborhood Park,1.56,2
B210H,Harold Ickes Playground,B,Playground,Neighborhood Plgd,1.816,3
B223H,Harry Chapin Playground,B,Playground,Neighborhood Plgd,0.3,6
B047,Highland Park,B,Flagship Park,Large Park,45.059,25
B223G,Hillside Dog Park,B,Neighborhood Park,Sitting Area/Triangle/Mall,2.06,6
B210A,John Allen Payne Playground,B,Playground,Neighborhood Plgd,1.51,2
B210W,John J Carty Park,B,Neighborhood Park,Large Park,8.565,7
B129,Kaiser Park,B,Community Park,Large Park,26.257,2
B052,Leif Ericson Park,B,Neighborhood Park,Large Park,16.8,29
B223U,Lentol Garden,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.762,3
B054,Lincoln Terrace / Arthur S. Somers Park,B,Community Park,Large Park,17.14,3
B112,Lot,B,Lot,Neighborhood Plgd,0.975,5
B113D,Lot,B,Lot,Sitting Area/Triangle/Mall,2.878,9
B070,Machate Circle,B,Triangle/Plaza,Type 1,4.32,31
B251,Manhattan Beach Park,B,Community Park,Large Park,42.941,4
B223OB,Marcy Park South,B,Recreational Field/Courts,Neighborhood Plgd,0.357,1
B057,Marine Park,B,Community Park,Large Park,800,474
B058,McCarren Park,B,Community Park,Large Park,36.493,14
B166D,McGuire Fields,B,Recreational Field/Courts,Large Park,77.181,44
B060,McKinley Park,B,Neighborhood Park,Large Park,8.25,1
B147,Monsignor Crawford Field,B,Recreational Field/Courts,Neighborhood Park,2.291,1
B135,Newtown Barge Playground,B,Recreational Field/Courts,Neighborhood Plgd,6.235,1
B536,North 5th Street Pier and Park,B,Waterfront Facility,Sitting Area/Triangle/Mall,3.083,3
B065,Ocean Parkway Malls,B,Mall,Large Park,140,675
B434,Old Gravesend Cemetery,B,Cemetery,Cemetery,1.649,1
B066,Owl's Head Park,B,Neighborhood Park,Large Park,24.218,4
B406,Paerdegat Basin Park,B,Nature Area,Undeveloped,118.795,33
B255N,Park,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.116,1
B255B,Park,B,Strip,Mall,0.113,1
B255M,Park,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.205,1
B210M,Park,B,Strip,EXWY,0.008,1
B210D,Park,B,Undeveloped,Sitting Area/Triangle/Mall,1.08,12
B233,Park,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.312,6
B223C,Park,B,Strip,Neighborhood Park,0.003,1
B587,Park,B,Managed Sites,,9.041,4
B223JA,Park,B,Triangle/Plaza,Type 1,0.09,1
B223IC,Park,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.047,2
B222,Pierrepont Playground,B,Playground,Neighborhood Plgd,0.503,1
B073,Prospect Park,B,Flagship Park,Flagship Park,526.25,107
B265,Rainbow Playground,B,Playground,Neighborhood Plgd,0.46,1
B126,Red Hook Recreation Area,B,Community Park,Large Park,58.503,27
B207,Sarsfield Playground,B,Playground,Neighborhood Plgd,0.579,1
B100,Seth Low Playground/ Bealin Square,B,Neighborhood Park,Neighborhood Plgd,4.945,1
B393,Sheepshead Bay Piers,B,Waterfront Facility,Neighborhood Park,1.22,5
B082,Shore Park and Parkway,B,Community Park,Large Park,58,638
B255K,Sitting Area,B,Triangle/Plaza,Sitting Area/Triangle/Mall,0.93,6
B371,Spring Creek Park,B,Community Park,REDEC,42.583,69
B165,Spring Creek Park,B,Nature Area,Large Park,54.963,14
B223F,Squibb Park,B,Neighborhood Park,Neighborhood Park,0.626,2
B369,Steeplechase Park,B,Community Park,Large Park,10.01,2
B223JB,Susan Smith McKinney Steward Park,B,Playground,Neighborhood Plgd,1.884,1
B381,Thomas Boyland Park,B,Neighborhood Park,Neighborhood Plgd,1.82,1
B223K,Trinity Park,B,Parkway,Sitting Area/Triangle/Mall,6.3,13
B050,Van Voorhees Playground,B,Playground,Neighborhood Plgd,5.739,12
B385,WNYC Transmitter Park,B,Neighborhood Park,Neighborhood Park,6.611,1
B111A,Washington Skate Park,B,Jointly Operated Playground,JOP,1.549,1
B254,Wingate Park,B,Jointly Operated Playground,JOP,5.888,2
M096,Adam Clayton Powell Jr. Malls,M,Mall,Sitting Area/Triangle/Mall,1.679,42
M004,Allen Street Malls,M,Mall,Sitting Area/Triangle/Mall,1.698,30
M108Q1,Andrew Haswell Green Park,M,Neighborhood Park,Sitting Area/Triangle/Mall,1.984,20
M286,Asphalt Green,M,Community Park,Neighborhood Plgd,4.35,2
M164,Asser Levy Playground,M,Community Park,Neighborhood Plgd,2.436,1
M283,Battery Park City,M,Community Park,Large Park,26.042,56
M399,Bella Abzug Park,M,Neighborhood Park,Neighborhood Park,2.592,5
M091,Bennett Rest,M,Nature Area,Sitting Area/Triangle/Mall,3.567,2
M214,Blake Hobbs Playground,M,Neighborhood Park,Neighborhood Plgd,1,1
M007,Bowling Green,M,Triangle/Plaza,Sitting Area/Triangle/Mall,1.016,1
M094A,Broadway Malls,M,Mall,Sitting Area/Triangle/Mall,1.3,10
M095A,Broadway Malls,M,Mall,Sitting Area/Triangle/Mall,1.139,12
M095,Broadway Malls,M,Mall,Sitting Area/Triangle/Mall,2.198,19
M094,Broadway Malls,M,Mall,Sitting Area/Triangle/Mall,5.754,277
M127,Bushman Steps,M,Triangle/Plaza,Undeveloped,0.08,2
M379,Canal Park,M,Neighborhood Park,Sitting Area/Triangle/Mall,0.669,1
M081,Carl Schurz Park,M,Neighborhood Park,Large Park,14.938,12
M178,Catherine Slip Malls,M,Mall,Sitting Area/Triangle/Mall,0.25,2
M010,Central Park,M,Flagship Park,Flagship Park,840.01,281
M019,Coleman Playground,M,Playground,Neighborhood Plgd,2.61,5
M015,Columbus Park,M,Playground,Neighborhood Plgd,3.233,1
M017,Corlears Hook Park,M,Neighborhood Park,Neighborhood Park,4.355,1
M208E,Crack Is Wack Playground,M,Playground,Neighborhood Plgd,1.369,2
M289,East River Esplanade,M,Neighborhood Park,Sitting Area/Triangle/Mall,1.735,2
M108T01,East River Esplanade,M,Waterfront Facility,Sitting Area/Triangle/Mall,8.595,114
M108T,East River Walk,M,Waterfront Facility,Sitting Area/Triangle/Mall,4.602,87
M029,Fort Tryon Park,M,Community Park,Large Park,67.213,41
M028,Fort Washington Park,M,Community Park,Large Park,184.143,413
M033,Hamilton Fish Park,M,Community Park,Neighborhood Plgd,4.3,1
M208G,Harlem River Park,M,Triangle/Plaza,Sitting Area/Triangle/Mall,0.351,2
M039,Harlem River Park,M,Parkway,Large Park,46.657,950
M208D,Harlem River Park,M,Recreational Field/Courts,Neighborhood Park,5.756,17
M092A,Haven Avenue,M,Parkway,Sitting Area/Triangle/Mall,1.38,19
M037,Highbridge Park,M,Community Park,Large Park,130.1,450
M042,Inwood Hill Park,M,Community Park,Large Park,196.398,21
M043,Isham Park,M,Community Park,Large Park,20.132,21
M014,Jackie Robinson Park,M,Neighborhood Park,Large Park,12.772,5
M048,Joan Of Arc Park,M,Neighborhood Park,Neighborhood Park,1.578,4
M045,John Jay Park,M,Community Park,Neighborhood Plgd,3.312,2
M144,John V. Lindsay East River Park,M,Community Park,Large Park,45.88,260
M108A,Louis Cuvillier Park,M,Neighborhood Park,Neighborhood Plgd,2.752,15
M058,Marcus Garvey Park,M,Community Park,Large Park,20.165,6
M203D,Mary O'Connor Playground,M,Playground,Neighborhood Plgd,0.229,1
M056,Morningside Park,M,Community Park,Large Park,29.888,29
M241,Nathan Straus Playground,M,Jointly Operated Playground,JOP,0.851,1
M208B,Park,M,Triangle/Plaza,Neighborhood Plgd,0.059,5
M108B,Park,M,Parkway,Undeveloped,2.13,6
M108J,Park,M,Strip,Undeveloped,0.188,3
M092B,Park,M,Strip,Sitting Area/Triangle/Mall,1.494,17
M060B,Park Avenue Malls,M,Mall,Sitting Area/Triangle/Mall,0.65,13
M060A,Park Avenue Malls,M,Mall,Sitting Area/Triangle/Mall,0.23,1
M060C,Park Avenue Malls,M,Mall,Sitting Area/Triangle/Mall,4.623,40
M141,Percy E. Sutton Playground,M,Neighborhood Park,Neighborhood Plgd,1.635,8
M108N,Peter Detmold Park,M,Neighborhood Park,Sitting Area/Triangle/Mall,0.588,1
